Input data,shakespeare
user,ndp
function,wordcount
async toggle,False
forbid ndp,False
load balance strategy,workerhash
iteration, latency
0,0.372374
1,0.360004
2,0.359267
3,0.351562
4,0.347896
5,0.355079
6,0.351544
7,0.350525
8,0.352849
9,0.348228
10,0.354867
11,0.350703
12,0.346835
13,0.352209
14,0.350378
15,0.352861
16,0.34903
17,0.354665
18,0.350817
19,0.354024
20,0.351569
21,0.349444
22,0.350707
23,0.3505
24,0.354625
25,0.353068
26,0.353049
27,0.348487
28,0.349627
29,0.356011
30,0.345653
31,0.352666
32,0.351684
33,0.352195
34,0.341542
35,0.354053
36,0.347756
37,0.351144
38,0.344887
39,0.358066
40,0.347252
41,0.350713
42,0.353409
43,0.350708
44,0.351332
45,0.349989
46,0.347076
47,0.352523
48,0.347316
49,0.347217
50,0.359135
51,0.352974
52,0.350345
53,0.399395
54,0.363868
55,0.355356
56,0.352198
57,0.353204
58,0.352433
59,0.34863
60,0.353431
61,0.352251
62,0.355609
63,0.351683
64,0.351608
65,0.349422
66,0.36033
67,0.354782
68,0.355617
69,0.355108
70,0.357889
71,0.357046
72,0.355031
73,0.353172
74,0.347976
75,0.35421
76,0.349586
77,0.350847
78,0.357369
79,0.353022
80,0.357121
81,0.375808
82,0.354148
83,0.352152
84,0.356506
85,0.355447
86,0.359609
87,0.351773
88,0.348766
89,0.349331
90,0.354795
91,0.352165
92,0.350605
93,0.356062
94,0.356565
95,0.352585
96,0.356973
97,0.351266
98,0.356703
99,0.352545
