Latency,Throughput
0.222833,4.487665650958341
0.223711,4.4700528807255795
0.228762,4.371355382449883
0.226927,4.406703477329714
0.225142,4.441641275284042
0.22681,4.408976676513381
0.234627,4.262084073870441
0.228701,4.372521326972772
0.232751,4.29643696482507
0.231384,4.321820004840438
0.228079,4.384445740291741
0.232276,4.305223096660868
0.237826,4.204754736656211
0.238001,4.201663018222613
0.234326,4.267558870974625
0.23803,4.201151115405621
0.224561,4.453133001723362
0.248246,4.02826228821411
0.239519,4.17503413090402
0.24936,4.010266281681104
0.276733,3.6135914401245968
0.259594,3.8521691564519984
0.247609,4.038625413454277
0.250521,3.991681336095577
0.272921,3.6640639599004836
0.249699,4.0048218054537665
0.230511,4.338187765442864
0.252118,3.9663966872654868
0.254752,3.9253862580077885
0.287807,3.474550653736706
0.287186,3.482063888908234
0.303025,3.300057751010643
0.260803,3.8343117218743648
0.263856,3.7899460311685162
0.297458,3.361819147577137
0.264633,3.7788182123922565
0.255828,3.908876276248104
0.287498,3.4782850663308964
0.284441,3.5156675725370112
0.289671,3.452192314729469
0.282653,3.537906903517741
0.293719,3.4046146146486946
0.294179,3.3992909079166083
0.318113,3.143537045012307
0.282844,3.5355178119387367
0.282553,3.539159025032472
0.311486,3.2104171616059793
0.30087,3.323694618938412
0.288237,3.469367222112359
0.287057,3.4836286869855115
0.283604,3.526043356229108
0.298724,3.347571671509487
0.303367,3.296337439471004
0.326654,3.061343194940212
0.330436,3.0263046399302738
0.282847,3.535480312677879
0.317088,3.1536986577858515
0.309562,3.230370652728694
0.337003,2.9673326350210534
0.316308,3.1614755238564944
0.322293,3.1027667370994716
0.311026,3.215165291647643
0.331149,3.01978867518851
0.321245,3.1128889165590126
0.334697,2.9877770042755087
0.33372,2.9965240321227373
0.333685,2.996838335555988
0.349902,2.857943081205595
0.312546,3.199529029326883
0.308583,3.240619217520084
0.357911,2.793990684835057
0.352418,2.837539512737715
0.345258,2.8963847325767977
0.318732,3.137432074595585
0.346061,2.8896639609779777
0.323822,3.0881163108127305
0.329091,3.0386731937366864
0.324347,3.083117772015773
0.337431,2.963568848149696
0.314091,3.183790684865214
0.340203,2.939421463067639
0.37183,2.689401070381626
0.384321,2.6019915643433484
0.22068,4.531448250860976
0.340984,2.9326889238204723
0.216517,4.618574984874167
0.332836,3.0044826881707505
0.361263,2.768066477884533
0.309603,3.2299428623107653
0.213819,4.676852852178712
0.23218,4.307003187182358
0.342484,2.919844430688733
0.368202,2.7159005111324763
0.261049,3.8306984512486166
0.214147,4.669689512344324
0.349437,2.861746180284286
0.327278,3.055506327953605
0.351313,2.8464645487072784
0.395303,2.5297050616868577
0.360911,2.7707661999772797
0.352085,2.8402232415467856
0.346939,2.8823510761257745
0.222586,4.492645539252244
0.329114,3.038460837278268
0.255629,3.9119192266918072
0.224287,4.458573167414964
0.333751,2.9962457041327215
0.235997,4.2373420001101705
0.245821,4.06800069969612
0.236409,4.229957404328938
0.223948,4.465322306964117
0.361181,2.76869492027543
0.247262,4.0442930980093985
0.400187,2.4988317961353066
0.25885,3.8632412594166503
0.229728,4.352973951803873
0.247928,4.033429060049691
0.224631,4.451745306747511
0.222756,4.489216901003789
0.222625,4.491858506457047
0.232441,4.302167001518665
0.220328,4.538687774590611
0.23627,4.232445930503237
0.233563,4.281500066363251
0.240207,4.1630760136049325
0.229528,4.356766930396291
0.235175,4.252152652280217
0.2634,3.796507213363705
0.219564,4.554480698110801
0.223863,4.467017774263724
0.231079,4.327524353143297
0.23925,4.179728317659352
0.224602,4.452320104006198
0.237415,4.21203378051092
0.222764,4.489055682246683
0.227701,4.3917242348518455
0.236281,4.232248890092729
0.21653,4.61829769546945
0.233603,4.280766942205365
0.2312,4.325259515570934
0.228247,4.381218592139217
0.232565,4.299873153741965
0.232844,4.294720929034032
0.225883,4.42707065162053
0.221679,4.51102720600508
0.241631,4.138541826172966
0.228632,4.373840932152979
0.217482,4.598081680322969
0.225398,4.436596598017729
0.226457,4.415849366546409
0.228009,4.385791788920613
0.233057,4.290795813899604
0.226102,4.422782637924477
0.229959,4.348601272400733
0.22938,4.3595779928502925
0.2219,4.506534474988734
0.225531,4.4339802510519615
0.245577,4.072042577277188
0.235501,4.246266470206072
0.234834,4.258327158758953
0.228004,4.385887966877774
0.220252,4.540253890997585
0.235159,4.252441964798285
0.229911,4.349509157891532
0.226573,4.413588556447591
0.233961,4.274216642944764
0.230653,4.33551698872332
0.226127,4.42229366683324
0.234078,4.272080246755355
0.232232,4.30603878879741
0.224725,4.449883190566247
0.223995,4.464385365744771
0.224377,4.456784786319454
0.234133,4.271076695724225
0.223821,4.467856009936512
0.222227,4.49990325208008
0.2387,4.189359028068705
0.254842,3.9239999686080003
0.230355,4.3411256538820515
0.257458,3.8841286734146925
0.25805,3.875217981011432
0.225259,4.439334277431756
0.223004,4.484224498215278
0.233002,4.2918086540029705
0.242029,4.13173627953675
0.246807,4.051748937428841
0.224468,4.454977992408717
0.262587,3.8082616428079072
0.222399,4.496423095427587
0.234536,4.26373776307262
0.222595,4.49246389182147
0.217712,4.593224075843316
0.270366,3.698689924028909
0.233912,4.275112007934608
0.237194,4.21595824514954
0.253303,3.947841123081843
0.222013,4.5042407426592135
0.221805,4.508464642366042
0.229376,4.359654017857143
0.239439,4.176429069616896
0.220012,4.545206625093177
0.219339,4.559152727057204
0.248611,4.022348166412589
0.220282,4.539635558057399
