Batch Size,Mean Latency,Median Latency,Time Taken
1,0.006930540999746881,0.006930540999746881,1.0202729070006171
2,0.005821569997351617,0.006183849996887147,1.028086048012483
3,0.006029539663965504,0.006093831005273387,1.0397340430063196
4,0.005416265998064773,0.005474236997542903,1.048906021998846
5,0.006925814200076275,0.007066245991154574,1.0582697619975079
6,0.00710555633365099,0.00717115199950058,1.066645865997998
7,0.006654471287869715,0.006714324990753084,1.0815137899917318
8,0.007010018125583883,0.007059523995849304,1.0833539140003268
9,0.007793372556787088,0.007912525004940107,1.1021258359978674
10,0.008162615202309098,0.007958540998515673,1.1145316949987318
11,0.008700523632631468,0.008542216994101182,1.1135520249954425
12,0.009084551418103123,0.009080026997253299,1.127653931005625
13,0.00959669084673246,0.009748803000547923,1.1298431000031997
14,0.009963104998210579,0.010113797994563356,1.161707181003294
15,0.010501193800397839,0.010154384013731033,1.1848273950017756
16,0.011308622188153095,0.011585780011955649,1.1731123319914332
17,0.012386412589180777,0.011969449988100678,1.1927592459978769
18,0.01300825283235301,0.012938119994942099,1.1898490229941672
19,0.013966264632089357,0.013244315006886609,1.200456156002474
20,0.014663539401226444,0.014539265001076274,1.2008962109975982
21,0.015246818050010396,0.01507995100109838,1.2223680620081723
22,0.01528105722668856,0.0150739089876879,1.2347054050042061
23,0.015524480564003486,0.015522400994086638,1.241731444009929
24,0.01740791295924282,0.01719345900346525,1.2499901590053923
25,0.019261746521806344,0.01917333499295637,1.2508010909950826
26,0.01884819661511126,0.01868258399190381,1.2800279799994314
27,0.019701439332156616,0.01961450299131684,1.2936867329990491
28,0.02160955596420016,0.021638864011038095,1.3226619190099882
29,0.020954506241933218,0.020757097998284735,1.301572557000327
30,0.023384324266226032,0.023280256005818956,1.3249334749998525
31,0.022545245097247854,0.022564961996977217,1.3311663450003834
32,0.02464134659476258,0.024571861009462737,1.3415934309887234
33,0.02429898866808578,0.024242792002041824,1.3464911159971962
34,0.02632935847085558,0.026237486992613412,1.3647301070013782
35,0.027949283057491163,0.0279889160010498,1.3683843260077992
36,0.027821437777472764,0.028002099992590956,1.36653639699216
37,0.029414905106170557,0.029185642008087598,1.3937546660017688
38,0.03026932002716134,0.030151123995892704,1.4018090559984557
39,0.028480516846264854,0.028864228996098973,1.4403752189973602
40,0.031166271249821874,0.03145082399714738,1.4012610970094102
41,0.031998400561150914,0.03229079200536944,1.4318726060009794
42,0.0315290141675394,0.03182924499560613,1.4245938700041734
43,0.033071050743929783,0.033018387999618426,1.4613793810131028
44,0.033639104113138855,0.03395476599689573,1.4485772260086378
45,0.033457677645815746,0.033756963995983824,1.4754014539939817
46,0.039889050130074356,0.03684663400053978,1.4804051279934356
47,0.034700082701400535,0.03485763999924529,1.500144806006574
48,0.03698599966719485,0.03697397399810143,1.4844943049974972
49,0.036540660205028705,0.03693713499524165,1.512769818000379
50,0.03707332030055113,0.03713077800057363,1.4904051409976091
51,0.040415831725113094,0.04018489099689759,1.5147284739941824
52,0.041610652268830636,0.04169091900985222,1.5479928749991814
53,0.04148755794229592,0.041466888011200354,1.526458295993507
54,0.039676486777251635,0.03986344799341168,1.5585865319881123
55,0.04049054940141187,0.04075273800117429,1.5879406690073665
56,0.04416718739386332,0.044768235995434225,1.620955631005927
57,0.04260567826241369,0.04276028700405732,1.6413172769971425
58,0.04378666770609361,0.04418147398973815,1.673709777998738
59,0.044775672728527276,0.04512877299566753,1.570806461997563
60,0.04454341001716481,0.0448261050041765,1.606457551009953
61,0.04518046065521823,0.04545631799555849,1.636723470990546
62,0.04593903824265468,0.046607879994553514,1.6546458280063234
63,0.048699047967111546,0.049143711003125645,1.6094306229933864
64,0.04922505787476439,0.04956161500012968,1.636635925999144
65,0.054333643861509,0.05001986499701161,1.6825785469991388
66,0.05013388001547851,0.05061431200010702,1.6952005029888824
67,0.05253701616441762,0.052777251999941655,1.6695475129963597
68,0.05189747414667235,0.052354908009874634,1.6900497619935777
69,0.05570644411584025,0.056126559007680044,1.71992116200272
70,0.05312746368539852,0.053800492009031586,1.733861992994207
71,0.05935663552270238,0.05987486700178124,1.7633283420000225
72,0.05399588202716485,0.054369181001675315,1.7040042590087978
73,0.054846509876270294,0.05526982199808117,1.7343689650006127
74,0.05355879986549356,0.05412158599938266,1.7487207079975633
75,0.056436532427906055,0.057036377998883836,1.7751264999969862
76,0.059793624185227885,0.060496061996673234,1.806942198993056
77,0.06004029214223423,0.060552969996933825,1.8212385990045732
78,0.05664770705185126,0.05715451900323387,1.8522099030087702
79,0.07497409963280352,0.07738234401040245,1.8856120389973512
80,0.0616077079621391,0.062460541012114845,1.9076397140015615
81,0.06268832351822683,0.06327929701365065,1.916396131986403
82,0.06268947197478576,0.06325884000398219,1.943703787997947
83,0.06451853707219553,0.06488007299776655,1.9690756299969507
84,0.06574180953456173,0.066123658005381,1.8005824569991091
85,0.06499962105898542,0.06544789799954742,1.820302009000443
86,0.06638245285995613,0.06691315099305939,1.8493153460003668
87,0.06662485962091334,0.06705399400379974,1.861323839999386
88,0.06773915010258365,0.06849422799132299,1.9020035099965753
89,0.06764670943722306,0.06806447099370416,1.9076595079968683
90,0.06885163837675161,0.0693590220034821,1.9333228369941935
91,0.07306142739556949,0.07039513699419331,1.912841085009859
92,0.06923874735888524,0.07024076698871795,1.9230979199928697
93,0.07298001193492147,0.07339364699146245,1.9441714639979182
94,0.0731131212328848,0.07395525100582745,1.959281600007671
95,0.0736856722423047,0.07431777000601869,1.9855011320032645
96,0.07644751783315466,0.07751038399874233,1.997540875003324
97,0.07461287948445744,0.07548685600340832,2.0081430389982415
98,0.07646446808167658,0.0769493319967296,2.0365333980007563
99,0.07581216021222792,0.07664564199512824,2.0630187399947317
100,0.07810829372043372,0.07888264101347886,1.961509611006477
101,0.08428909782191167,0.07928566700138617,2.0232946630130755
