Input data,kjv_ceph
user,ndp
function,wordcount
async toggle,True
forbid ndp,True
load balance strategy,roundrobin
iteration, latency
0,Turnaround: 0.22239041328430176
1,Turnaround: 0.2279958724975586
2,Turnaround: 0.22566843032836914
3,Turnaround: 0.22380399703979492
4,Turnaround: 0.21727728843688965
5,Turnaround: 0.2219398021697998
6,Turnaround: 0.22362780570983887
7,Turnaround: 0.226654052734375
8,Turnaround: 0.2256178855895996
9,Turnaround: 0.22890043258666992
10,Turnaround: 0.23388934135437012
11,Turnaround: 0.23642969131469727
12,Turnaround: 0.24044466018676758
13,Turnaround: 0.2393648624420166
14,Turnaround: 0.24251437187194824
15,Turnaround: 0.24570679664611816
16,Turnaround: 0.2493915557861328
17,Turnaround: 0.25119972229003906
18,Turnaround: 0.2469778060913086
19,Turnaround: 0.2556579113006592
20,Turnaround: 0.253436803817749
21,Turnaround: 0.25507688522338867
22,Turnaround: 0.2552461624145508
23,Turnaround: 0.2657172679901123
24,Turnaround: 0.26012134552001953
25,Turnaround: 0.26910853385925293
26,Turnaround: 0.2635316848754883
27,Turnaround: 0.272139310836792
28,Turnaround: 0.26781439781188965
29,Turnaround: 0.2719888687133789
30,Turnaround: 0.268230676651001
31,Turnaround: 0.2770211696624756
32,Turnaround: 0.27507472038269043
33,Turnaround: 0.2971827983856201
34,Turnaround: 0.2949702739715576
35,Turnaround: 0.2807168960571289
36,Turnaround: 0.32071614265441895
37,Turnaround: 0.2800118923187256
38,Turnaround: 0.2741425037384033
39,Turnaround: 0.3971288204193115
40,Turnaround: 0.27779102325439453
41,Turnaround: 0.3431994915008545
42,Turnaround: 0.2990732192993164
43,Turnaround: 0.3212447166442871
44,Turnaround: 0.3499152660369873
45,Turnaround: 0.42159056663513184
46,Turnaround: 0.42278194427490234
47,Turnaround: 0.4142324924468994
48,Turnaround: 0.4044954776763916
49,Turnaround: 0.3689994812011719
50,Turnaround: 0.34728455543518066
51,Turnaround: 0.4550633430480957
52,Turnaround: 0.43473172187805176
53,Turnaround: 0.4423229694366455
54,Turnaround: 0.4798007011413574
55,Turnaround: 0.4609384536743164
56,Turnaround: 0.45908308029174805
57,Turnaround: 0.424727201461792
58,Turnaround: 0.4545326232910156
59,Turnaround: 0.4411635398864746
60,Turnaround: 0.42388916015625
61,Turnaround: 0.4107215404510498
62,Turnaround: 0.4441492557525635
63,Turnaround: 0.42763352394104004
64,Turnaround: 0.423936128616333
65,Turnaround: 0.4574739933013916
66,Turnaround: 0.4371004104614258
67,Turnaround: 0.4741842746734619
68,Turnaround: 0.4669985771179199
69,Turnaround: 0.4526081085205078
70,Turnaround: 0.49042463302612305
71,Turnaround: 0.47344446182250977
72,Turnaround: 0.4720282554626465
73,Turnaround: 0.4563131332397461
74,Turnaround: 0.4840996265411377
75,Turnaround: 0.46743106842041016
76,Turnaround: 0.4717686176300049
77,Turnaround: 0.4331021308898926
78,Turnaround: 0.47957277297973633
79,Turnaround: 0.46338534355163574
80,Turnaround: 0.4470095634460449
81,Turnaround: 0.4350409507751465
82,Turnaround: 0.4664802551269531
83,Turnaround: 0.4562859535217285
84,Turnaround: 0.45086050033569336
85,Turnaround: 0.43886446952819824
86,Turnaround: 0.4330601692199707
87,Turnaround: 0.44635677337646484
88,Turnaround: 0.4342935085296631
89,Turnaround: 0.48000264167785645
90,Turnaround: 0.45731115341186523
91,Turnaround: 0.4931652545928955
