Input data,kjv_ceph
user,ndp
function,wordcount
async toggle,True
forbid ndp,False
load balance strategy,roundrobin
iteration, latency
0,Turnaround: 0.21994948387145996
1,Turnaround: 0.23189830780029297
2,Turnaround: 0.22532010078430176
3,Turnaround: 0.22466444969177246
4,Turnaround: 0.2151932716369629
5,Turnaround: 0.22286748886108398
6,Turnaround: 0.22277474403381348
7,Turnaround: 0.2299365997314453
8,Turnaround: 0.2254960536956787
9,Turnaround: 0.22441697120666504
10,Turnaround: 0.23172760009765625
11,Turnaround: 0.2328808307647705
12,Turnaround: 0.23734211921691895
13,Turnaround: 0.2404158115386963
14,Turnaround: 0.23566651344299316
15,Turnaround: 0.2454667091369629
16,Turnaround: 0.24463367462158203
17,Turnaround: 0.2452247142791748
18,Turnaround: 0.24830985069274902
19,Turnaround: 0.2553384304046631
20,Turnaround: 0.2578718662261963
21,Turnaround: 0.2573525905609131
22,Turnaround: 0.2585947513580322
23,Turnaround: 0.26748013496398926
24,Turnaround: 0.2652437686920166
25,Turnaround: 0.2648606300354004
26,Turnaround: 0.26590991020202637
27,Turnaround: 0.26743578910827637
28,Turnaround: 0.2739739418029785
29,Turnaround: 0.2708749771118164
30,Turnaround: 0.327744722366333
31,Turnaround: 0.29230380058288574
32,Turnaround: 0.27701282501220703
33,Turnaround: 0.2740960121154785
34,Turnaround: 0.2710270881652832
35,Turnaround: 0.2796459197998047
36,Turnaround: 0.3487887382507324
37,Turnaround: 0.28060460090637207
38,Turnaround: 0.2760341167449951
39,Turnaround: 0.28879332542419434
40,Turnaround: 0.3349738121032715
41,Turnaround: 0.39836955070495605
42,Turnaround: 0.2814137935638428
43,Turnaround: 0.31258368492126465
44,Turnaround: 0.2803666591644287
45,Turnaround: 0.28400707244873047
46,Turnaround: 0.32710862159729004
47,Turnaround: 0.3354041576385498
48,Turnaround: 0.4162766933441162
49,Turnaround: 0.4395027160644531
50,Turnaround: 0.37500476837158203
51,Turnaround: 0.4260871410369873
52,Turnaround: 0.3929016590118408
53,Turnaround: 0.4383406639099121
54,Turnaround: 0.44783449172973633
55,Turnaround: 0.43201494216918945
56,Turnaround: 0.41332435607910156
57,Turnaround: 0.4123368263244629
58,Turnaround: 0.37753987312316895
59,Turnaround: 0.4555797576904297
60,Turnaround: 0.4266672134399414
61,Turnaround: 0.42096972465515137
62,Turnaround: 0.4445064067840576
63,Turnaround: 0.436429500579834
64,Turnaround: 0.4192812442779541
65,Turnaround: 0.4383127689361572
66,Turnaround: 0.46129298210144043
67,Turnaround: 0.4457545280456543
68,Turnaround: 0.4484832286834717
69,Turnaround: 0.48604750633239746
70,Turnaround: 0.4526543617248535
71,Turnaround: 0.4357433319091797
72,Turnaround: 0.45973825454711914
73,Turnaround: 0.4897146224975586
74,Turnaround: 0.4592702388763428
75,Turnaround: 0.4758598804473877
76,Turnaround: 0.4477994441986084
77,Turnaround: 0.4577600955963135
78,Turnaround: 0.46587491035461426
79,Turnaround: 0.4688682556152344
80,Turnaround: 0.4854276180267334
81,Turnaround: 0.4533100128173828
82,Turnaround: 0.4406723976135254
83,Turnaround: 0.4611034393310547
84,Turnaround: 0.48373842239379883
85,Turnaround: 0.4479329586029053
86,Turnaround: 0.4744727611541748
87,Turnaround: 0.5082943439483643
88,Turnaround: 0.47530484199523926
89,Turnaround: 0.4894247055053711
90,Turnaround: 0.47194933891296387
