Linux 5.4.0-164-generic (node-0.load-balance.autondp-pg0.utah.cloudlab.us) 	03/12/2024 	_x86_64_	(32 CPU)

03:43:11 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:44:40 PM     all      0.09      0.00      0.16      0.00      0.00     99.75
03:44:41 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:44:42 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:44:43 PM     all      0.06      0.00      0.00      0.00      0.00     99.94
03:44:44 PM     all      0.09      0.00      0.09      0.00      0.00     99.81
03:44:45 PM     all      0.19      0.00      0.09      0.00      0.00     99.72
03:44:46 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
03:44:47 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
03:44:48 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:44:49 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:44:50 PM     all      0.22      0.00      0.09      0.00      0.00     99.69
03:44:51 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:44:52 PM     all      0.06      0.00      0.03      0.00      0.00     99.91
03:44:53 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:44:54 PM     all      0.12      0.00      0.03      0.00      0.00     99.84
03:44:55 PM     all      0.13      0.00      0.16      0.00      0.00     99.72
03:44:56 PM     all      0.06      0.00      0.06      0.00      0.00     99.87
03:44:57 PM     all      0.03      0.00      0.00      0.00      0.00     99.97
03:44:58 PM     all      0.16      0.00      0.00      0.00      0.00     99.84
03:44:59 PM     all      0.00      0.00      0.03      0.03      0.00     99.94
03:45:00 PM     all      0.09      0.00      0.03      0.00      0.00     99.87
03:45:01 PM     all      0.16      0.00      0.09      0.00      0.00     99.75
03:45:02 PM     all      0.06      0.00      0.06      0.00      0.00     99.87
03:45:03 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
03:45:04 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
03:45:05 PM     all      0.09      0.00      0.03      0.00      0.00     99.87
