Latency,Throughput
0.091632,10.913218089750305
0.138363,7.227365697476926
0.180421,5.542592048597447
0.221846,4.50763141999405
0.273262,3.659491623423674
0.320279,3.1222777640744477
0.364183,2.74587226751386
0.408824,2.4460403498816117
0.451525,2.2147167930900835
0.494454,2.022432824893721
0.542194,1.8443582924193187
0.590276,1.6941227493579274
0.633216,1.5792399434000404
0.677752,1.4754659521476883
0.724085,1.381053329374314
0.76894,1.30049158581944
0.816274,1.2250788338229563
0.861108,1.1612945182253562
0.903679,1.1065876268011097
0.954517,1.047650277574941
0.995811,1.004206621537621
1.043685,0.9581435011521676
1.094942,0.9132903843308595
1.135408,0.8807406676718854
1.178496,0.8485391549907679
1.222879,0.8177423931558232
1.267286,0.7890878617770575
1.313709,0.7612035846599209
1.364297,0.7329782298135963
1.405283,0.711600439199791
1.450241,0.6895405660162691
1.494656,0.6690502697610687
1.538074,0.6501637762552387
1.587979,0.6297312495946105
1.629,0.6138735420503376
1.673631,0.5975032728241768
1.719644,0.5815157090653648
1.768712,0.5653831714829775
1.808479,0.5529508498578087
1.856826,0.5385534239611035
1.902225,0.5257001669098029
1.921075,0.5205418841013495
1.918557,0.5212250665474103
1.873488,0.5337637604297438
1.873159,0.5338575102273753
1.872459,0.534057087498311
1.872966,0.5339125216368049
1.872048,0.5341743374101519
1.872286,0.5341064345938602
1.872717,0.5339835116571271
1.82531,0.5478521456629285
1.827551,0.5471803522856544
1.779836,0.5618495187197022
1.780474,0.561648190313366
1.77837,0.5623126795886121
1.778527,0.562263041269545
1.778368,0.5623133119804226
1.778107,0.562395851318284
1.728839,0.5784228606596681
1.730862,0.5777468105487324
1.730606,0.577832273781554
1.730688,0.5778048960875675
1.730293,0.5779368002991401
1.68359,0.5939688403946329
1.683271,0.5940814045985465
1.63764,0.6106348159546665
1.637908,0.6105349018381985
1.497312,0.6678634780192773
1.496255,0.6683352770750975
1.403549,0.7124795785540797
1.35718,0.7368219396100738
1.3571,0.7368653746960431
1.356856,0.736997883342079
1.310484,0.7630768479432026
1.30857,0.7641929740097969
1.308251,0.7643793125325339
1.262423,0.7921275198566565
1.214181,0.82360043519047
1.215487,0.8227155041559474
1.17003,0.8546789398562431
1.170051,0.8546636001336694
1.121904,0.891341861692266
1.074246,0.9308854768833209
1.076703,0.9287612275622897
1.075195,0.9300638488832259
1.075102,0.9301443025871033
4.107755,0.24344197743049428
4.151933,0.24085167077599762
4.182946,0.239065959732686
4.224083,0.2367377724348693
4.270584,0.23416001183913018
1.312442,0.7619384323269142
4.352404,0.22975808311912221
4.401684,0.22718577707986304
4.434876,0.2254854476201815
1.459313,0.6852539516882259
1.457134,0.6862786813017884
1.464455,0.6828478853908109
4.508417,0.2218073439080724
1.51036,0.6620938054503562
1.510912,0.6618519146052185
1.416499,0.7059659060825316
1.416006,0.7062116968430924
1.413855,0.7072861078399129
1.416055,0.7061872596756481
4.459222,0.22425436544760502
1.46143,0.6842613057074235
1.462198,0.6839019065817351
1.465374,0.6824196416750946
4.509576,0.22175033750401368
1.509861,0.6623126234799098
1.509403,0.662513589810011
1.510367,0.6620907368871274
1.50944,0.6624973500106
1.462078,0.6839580378064645
1.462892,0.683577461630797
4.507776,0.22183888462958232
1.51142,0.661629461036641
1.510491,0.6620363841956026
1.512553,0.6611338577887849
1.463421,0.6833303608462636
1.462165,0.6839173417500761
4.507965,0.22182958385879215
1.414975,0.7067262672485379
4.460469,0.22419167132424864
1.409221,0.7096119061524062
4.416043,0.22644707037499406
4.412552,0.22662622446149078
4.415304,0.22648497136324022
1.405068,0.7117093265236986
4.368061,0.22893453182086973
1.404969,0.7117594765436106
4.413494,0.22657785418990034
1.452619,0.6884117583481972
1.452472,0.6884814302788625
4.461979,0.22411580153111432
1.501291,0.6660933822956376
1.500687,0.6663614731119814
1.501323,0.6660791848256504
1.500849,0.6662895467831873
4.509844,0.22173715986628362
1.546773,0.6465072767626536
1.545937,0.646856890028507
1.501708,0.6659084189469591
4.509532,0.22175250114646042
1.548737,0.6456874214279119
1.549148,0.645516115955351
4.555482,0.21951573949803777
1.498657,0.667264090448982
4.510327,0.2217134145706065
1.452319,0.688553960941088
4.462478,0.22409074061541592
1.500038,0.6666497782056188
1.499322,0.6669681362642581
4.510005,0.22172924420261178
1.498672,0.6672574118953313
1.498924,0.6671452321798838
1.499192,0.6670259713232194
1.496533,0.6682111253143098
1.500159,0.6665960074898727
1.357103,0.7368637457879026
1.360321,0.7351206075624798
4.368926,0.22888920526463483
4.3675,0.2289639381797367
1.405704,0.7113873190942047
1.404894,0.7117974736884063
1.358127,0.7363081655839254
1.357382,0.7367122888030045
1.263924,0.7911868118652704
1.215321,0.8228278783959134
1.216214,0.8222237204965575
1.21701,0.8216859352018472
4.230699,0.23636756006513343
1.263756,0.7912919899094445
1.265642,0.7901128439163682
1.268297,0.7884588546688985
1.217157,0.821586697525463
1.219823,0.8197910680483971
4.229992,0.23640706649090587
1.266053,0.789856348825839
1.219449,0.8200424946020702
4.228416,0.2364951792822655
4.227987,0.23651917567390818
1.265315,0.7903170356788626
4.229548,0.23643188350149943
1.218204,0.8208805750104251
4.223718,0.23675823054474754
4.219815,0.23697721345604014
1.218534,0.8206582664086517
4.265343,0.2344477337461489
1.267806,0.7887642115591817
4.266784,0.2343685548647412
1.174363,0.8515254652948023
1.169857,0.8548053309079657
1.175622,0.8506135475518491
1.173316,0.8522853178512865
1.171322,0.8537362057572555
1.17228,0.8530385232197086
1.173039,0.8524865754676528
4.175797,0.23947524269019782
1.220417,0.8193920602548145
