Batch Size,Mean Latency,Median Latency,Time Taken
1,0.21652270299819065,0.21652270299819065,1.230303680000361
2,0.22176556950034865,0.2221958980007912,1.2461629720019118
3,0.21964669666825407,0.22069289500359446,1.2579919320014596
4,0.2176257009996334,0.21727753999948618,1.2677921799986507
5,0.22016467540015583,0.22010109400071087,1.2820548819981923
6,0.2211932258330004,0.21988233599768137,1.2943030280002858
7,0.221003908856801,0.2197594110002683,1.3091376939992188
8,0.22337432712492955,0.2243792810004379,1.3101259180002671
9,0.22478193955531525,0.22512641199864447,1.334209025000746
10,0.2288994956008537,0.2304451939999126,1.3406600820017047
11,0.23025273781802919,0.23093207900092239,1.352090585998667
12,0.23206002550008029,0.2324212070016074,1.372443675998511
13,0.23097390230815598,0.23224801199830836,1.3792849579986068
14,0.23075082035653136,0.23327817599783884,1.4012179150013253
15,0.2355569404673588,0.23677113600206212,1.4187459899985697
16,0.23534067906189193,0.2393454640005075,1.4148247580014868
17,0.2370459364118527,0.24029832399901352,1.4401975680011674
18,0.2659701270551725,0.26968826799929957,1.4772637319983914
19,0.24016779473746092,0.23955257299894583,1.4567803770005412
20,0.23967162169992662,0.2405679110015626,1.4446771539987822
21,0.2413308948569119,0.24359035700035747,1.4732731679978315
22,0.2455659646367911,0.2483244899995043,1.4843445850019634
23,0.24445328204361114,0.2459692679985892,1.4979292540010647
24,0.2456452435835672,0.2473848449990328,1.500212974002352
25,0.24559982795995894,0.24551721699754125,1.508303712002089
26,0.24888988123082248,0.24833015100011835,1.5391266090009594
27,0.25300911988880315,0.2543927299993811,1.5626815550022002
28,0.25001067603586435,0.24941372600005707,1.5808005580001918
29,0.2523514858625402,0.25528773100086255,1.573251040001196
30,0.25606893070010606,0.2580327470022894,1.5948664019997523
31,0.25670944564509196,0.258281263999379,1.5984730689997377
32,0.25810942250006974,0.2626668709999649,1.608895796998695
33,0.26273896951522946,0.265320996997616,1.6377865149988793
34,0.25786237358796127,0.2597505829980946,1.63106688300104
35,0.2641523110001539,0.267637177999859,1.6313152110014926
36,0.2585861695832945,0.25968748699961,1.6353877729998203
37,0.2600820390000228,0.2604915659976541,1.6627719210009673
38,0.26463598452631376,0.26848378899740055,1.6868936009996105
39,0.271319048025758,0.27459825500045554,1.720545422998839
40,0.2661697702500533,0.26883941799678723,1.6763191819991334
41,0.2708815339758031,0.27487849200042547,1.705409754998982
42,0.2721729186428309,0.2752109749999363,1.6977074989990797
43,0.26968094553486416,0.27125060700200265,1.7254675930016674
44,0.30070663484085264,0.2765398519986775,1.9016634229992633
45,0.2728002170000562,0.2752586460010207,1.7593303229987214
46,0.28039237367390696,0.28533737800171366,1.7767134759997134
47,0.2854878013616705,0.2857646410011512,1.8453707300031965
48,0.2822188623122959,0.2848077099988586,1.7798165860003792
49,0.281994358959328,0.28480570600004285,1.8027695829987351
50,0.27858287952032695,0.2807044209985179,1.777399616999901
51,0.28157627625521,0.2813560049980879,1.8144602440006565
52,0.28479440963439207,0.28406041500056745,1.8477109129999008
53,0.2832786493961049,0.28303789499841514,1.8103265200006717
54,0.2843958204815593,0.28446834300120827,1.839936911001132
55,0.287931056999911,0.2886023080027371,1.871620456000528
56,0.28819808708911815,0.2874510649999138,1.9310732840021956
57,0.2889162647191194,0.28765104999911273,1.961674578000384
58,0.30251656534516047,0.3063352369972563,1.9960729129998072
59,0.2919280537797145,0.2947934069998155,1.8785286450001877
60,0.29064370646635024,0.29364479899959406,1.9031143880019954
61,0.29806558160605356,0.29542768899773364,1.9716491459985264
62,0.3039249080323521,0.30364695900061633,2.002061794999463
63,0.30007335961901904,0.3059270799967635,1.9445801000001666
64,0.2993314930315023,0.3017234950020793,2.003064248001465
65,0.30480802492322534,0.3105009130013059,1.988682114999392
66,0.3053063487121549,0.30113102399991476,2.0455264919983165
67,0.3134152883131217,0.32051821000277414,2.0147564050021174
68,0.3189230587205363,0.31564701100069215,2.036031917999935
69,0.3121456130579843,0.3141314330023306,2.051531483997678
70,0.3125911141143401,0.3158209280009032,2.0755864099992323
71,0.3178777151828604,0.3212652430011076,2.10135046600044
72,0.3225443969860559,0.3244899310011533,2.0906539839998004
73,0.32125549273958515,0.3191938729978574,2.0932129620014166
74,0.320020573730142,0.32933240800048225,2.1148683419996814
75,0.3205682040132039,0.3218433299989556,2.1133159849996446
76,0.3225193232631347,0.3200768620008603,2.1883863500006555
77,0.3285468811430634,0.3325871119996009,2.222582957998384
78,0.32999390041004517,0.3349705190012173,2.2277988360001473
79,0.3302830691898151,0.3350137100023858,2.2878804950014455
80,0.33735439151264474,0.3330594699982612,2.29975049299901
81,0.34203887686417594,0.3436518159978732,2.3242217609986255
82,0.3403181985000496,0.3461945929993817,2.348433771996497
83,0.3411385003129404,0.345858712997142,2.368443039998965
84,0.3432748155593713,0.3408434920020227,2.210295530996518
85,0.34703154181197,0.3457048130003386,2.2644572610006435
86,0.3530685170696606,0.36452349300088827,2.2566702440017252
87,0.3601066028505588,0.36613167399991653,2.2942621580004925
88,0.3472781492955619,0.3452946429970325,2.2812006839994865
89,0.35114617202250453,0.3488796880010341,2.3353176199998416
90,0.353274409133236,0.3607296169975598,2.355098418000125
91,0.36607390407696405,0.3620507779996842,2.3137959849991603
92,0.3786135130327318,0.3871715880013653,2.3502820630019414
93,0.36320035841939685,0.3664730659984343,2.353485820996866
94,0.36358883010631116,0.36682165199817973,2.372141334999469
95,0.3696968440630467,0.37407877299847314,2.425470802001655
96,0.3637437396146197,0.36822704099904513,2.4360063439999067
97,0.37118758511342936,0.37483463199896505,2.4757980899994436
98,0.3639084850612785,0.368896099000267,2.438850717000605
99,0.3723506144341434,0.36863978799738106,2.4989803380012745
100,0.3759557794397915,0.381830144997366,2.3985421220022545
101,0.3796205070597136,0.38239777100170613,2.4151353430024756
102,0.37882300985288836,0.38426604100095574,2.4440704059998097
103,0.3845337472040643,0.3800729640024656,2.46117907399821
104,0.3759565560193411,0.38436504600031185,2.4663533339989954
105,0.3801384021810788,0.37710447700010263,2.4978605790020083
106,0.3860053385568498,0.38533102099972893,2.5456198829997447
107,0.3801020311213302,0.38917315900107496,2.5215904870019585
108,0.3783246506389467,0.3923272239990183,2.530637583000498
109,0.3883563369815812,0.391931599999225,2.570597624999209
110,0.38930818750926516,0.39995687600094243,2.606565229998523
111,0.3837383248377067,0.38770057200235897,2.6168164259979676
112,0.41128879883032304,0.41490517599959276,2.664092011997127
113,0.39922957948658977,0.40454207899892936,2.6783980449981755
114,0.39545271311394653,0.3951208209982724,2.704305822997412
