Batch Size,Mean Latency,Median Latency,Time Taken
1,0.21348285700150882,0.21348285700150882,1.2273303639994992
2,0.2139662709996628,0.21624029600206995,1.2400502379969112
3,0.21575467199969958,0.21541944599812268,1.2545087010003044
4,0.21982709925032395,0.2196401330002118,1.2691115710003942
5,0.2208422673989844,0.2203253509978822,1.283828084000561
6,0.22337832449981457,0.22341585500180372,1.2995589710008062
7,0.23064924999874034,0.23304282699973555,1.3202441920002457
8,0.229994263750541,0.23381830300058937,1.3234939989997656
9,0.232293411889259,0.2322074590010743,1.3441898199998832
10,0.231809049399817,0.23258973699921626,1.346570135003276
11,0.24193486609113857,0.2389580790004402,1.3917977790006262
12,0.2416640688337187,0.24276325400205678,1.3878812069997366
13,0.24691749723066236,0.24539514899879578,1.4265576289981254
14,0.24277669914226863,0.2451598269981332,1.4270303789999161
15,0.25232083993347865,0.2512130260001868,1.4686748950007313
16,0.260787724187594,0.25905407299796934,1.5007109759972082
17,0.26657420158859596,0.26284443300028215,1.5374507209999138
18,0.2889093649998055,0.28057431200068095,1.5609310430008918
19,0.29164530847361003,0.29131532499741297,1.5431884469981014
20,0.30585272564985644,0.30769957700249506,1.5704765310001676
21,0.30426920452356127,0.30595009199896595,1.5880317760020262
22,0.31996022086357034,0.31787404799979413,1.5985839089989895
23,0.3261092179567166,0.3275254940017476,1.6257605729988427
24,0.32142838650058064,0.3227894310002739,1.6125756860019465
25,0.3396494971604261,0.3323928980025812,1.6623644510000304
26,0.3552921206155588,0.3719556329997431,1.6814398409987916
27,0.36006651996285655,0.3753423939997447,1.7290406959982647
28,0.35803606521390713,0.3659973639987584,1.724195241000416
29,0.3855562727932983,0.3925039369969454,1.7809327649993065
30,0.3695433983333108,0.38411423299839953,1.7377121800018358
31,0.38682935041933597,0.38952962500115973,1.7978903580005863
32,0.3830280875623657,0.3913236450025579,1.7771533859995543
33,1.9173458505454508,1.0089975990013045,32.33344769999894
34,0.4286179954116746,0.4386863040017488,1.8495591290011362
35,0.3819039196000501,0.3988612470020598,1.8202418609980668
36,0.3720642657504464,0.39975556900026277,1.8214367219989072
37,0.3847383360539302,0.38263429300059215,1.8529378429993812
38,0.3805579391050024,0.3830286749980587,1.8679114330006996
39,0.3805770183075182,0.3881264609990467,1.9116513109984226
40,0.4824261585247768,0.5034183950010629,1.8931785729982948
41,0.4067696940001042,0.4246851189964218,1.9819979009989765
42,0.5170042286904174,0.5310569479988771,2.1332327790005365
43,0.4174295641861072,0.41816074699818273,1.9959677020015079
44,0.5244599574770373,0.5409739179995086,2.156776583997271
45,0.4751983275333866,0.4782911780021095,2.1390424230012286
46,0.5234628561086972,0.5248170380000374,2.184458703999553
47,0.48542303195759773,0.4753233490009734,2.1506288519994996
48,0.48427166556227047,0.47490802999891457,2.131279746998189
49,0.5027129551840053,0.49149202100306866,2.196077881999372
50,0.5064464505202341,0.4749268179984938,2.1909303719985473
51,0.5491026860785782,0.5270836749987211,2.238142586000322
52,0.5325535133266525,0.507997016000445,2.271848690998013
53,0.5479414104337129,0.5285474590018566,2.2736138370019034
54,0.5636998156850395,0.5375272260025667,2.3031971099990187
55,0.5307635583817583,0.4876696110004559,2.3014432630006922
56,0.5750094841069507,0.5308076589972188,2.389080491000641
57,0.5477227735088825,0.49232983800175134,2.4357998609993956
58,0.5439281411206045,0.4876510429967311,2.4336950270007947
59,0.5557894371351291,0.4889562169992132,2.3771100230005686
60,0.5768254804168464,0.5081211480028287,2.4258406139997533
61,0.5631521026229702,0.48166387300079805,2.427805351999268
62,0.583852824790454,0.5185284369981673,2.4862730509994435
63,0.5764957822858479,0.5068785980001849,2.4102966449972882
64,0.5742784510312049,0.48504209400198306,2.4293573560025834
65,0.6269314280462053,0.5467292439971061,2.5243299920002755
66,0.6203807251818724,0.5492800259999058,2.5247653309997986
67,0.647476824402936,0.5453896500002884,2.546608725999249
68,0.6414204580150908,0.5289475680001487,2.565000422000594
69,0.6623683120726154,0.5560507309965033,2.6244567450012255
70,0.6403169862572603,0.5491195739996328,2.6356361209982424
71,0.6466831592394081,0.5558268539971323,2.6421453379989543
