Latency,Throughput
0.315393,3.170647414495566
0.517714,1.931568394905295
0.724205,1.3808244903031601
0.922601,1.0838921700713526
1.136874,0.8796049518240369
1.339575,0.7465054214956236
1.69098,0.5913730499473678
1.888124,0.5296262321754291
2.089586,0.47856369634942036
2.303595,0.4341040851364932
2.505671,0.39909469359704447
2.705686,0.3695920369178094
2.914446,0.3431183833908743
3.117038,0.3208173913824599
3.332434,0.30008096184350536
3.535788,0.2828223864100449
3.754995,0.2663119391637006
3.946867,0.25336551751047093
3.240096,0.30863283063217883
4.359446,0.22938694503842919
4.269933,0.23419571220438354
4.779949,0.20920725304809737
3.86092,0.2590056256021881
3.098019,0.32278691641335966
4.889024,0.20453980180911363
4.272906,0.23403276365078007
5.098507,0.1961358491809465
3.725255,0.2684379995463398
3.097114,0.3228812371775789
4.751975,0.21043881754428423
4.131242,0.2420579573890854
4.958115,0.20168955338873745
3.716685,0.2690569687772841
3.091979,0.32341746176154496
4.746584,0.21067782641158356
4.127481,0.24227852290537494
4.957749,0.20170444288325207
3.717899,0.2689691140076694
3.096836,0.3229102219168209
4.744927,0.21075139828283976
4.130518,0.24210038547223373
4.954063,0.20185451820051542
3.721212,0.2687296504472199
3.101552,0.3224192275351179
4.749674,0.21054076553464512
4.128656,0.24220957134718898
4.956942,0.20173728076705358
3.722134,0.2686630841339941
3.101042,0.32247225287500136
4.748967,0.2105721096819582
4.133869,0.2419041338755534
4.956473,0.20175636990254966
3.724929,0.2684614928230847
3.099747,0.3226069740530437
4.752921,0.21039693274935561
4.135914,0.24178452453315036
4.962649,0.20150528477835125
3.725194,0.26844239521485325
3.099772,0.3226043721925354
4.755661,0.21027571141004373
4.135419,0.24181346557628142
4.959493,0.2016335137482803
3.730445,0.26806453385588047
3.109629,0.32158177068711413
4.762871,0.20995739754446427
4.141428,0.24146260661781394
4.966365,0.20135451180088457
3.731346,0.26799980489614206
3.109,0.32164683177870695
4.763419,0.20993324332795416
4.146375,0.2411745199119713
4.972591,0.20110240315360742
3.735328,0.2677141070342417
3.110476,0.321494202173558
4.763588,0.20992579542983145
4.143169,0.2413611416768179
4.970704,0.20117874651156056
3.732067,0.2679480298719182
3.10089,0.32248805987958296
4.76323,0.2099415732601617
4.144698,0.24127210233411459
4.96835,0.20127406483037627
3.723657,0.2685531991802682
3.101366,0.32243856416817623
4.763612,0.20992473778301002
4.134876,0.24184522099332603
4.960854,0.20157819601221885
3.720272,0.2687975502866457
3.093513,0.3232570866842971
4.752736,0.21040512243894888
4.127748,0.24226285131747383
4.958384,0.20167861141855897
3.716706,0.2690554485611722
3.095422,0.32305772847773256
4.744293,0.21077956188624944
4.130057,0.2421274088953252
4.952534,0.20191683691621298
3.715765,0.2691235855873555
3.093507,0.32325771365637773
4.747183,0.2106512430635179
4.125381,0.24240185330760966
4.950584,0.20199637052921432
3.71241,0.26936679946449876
3.092847,0.323326695436276
4.743716,0.2108051999740288
4.125431,0.2423989154102929
4.950298,0.20200804072805315
3.717183,0.2690209225642106
3.092529,0.3233599426230118
4.745273,0.21073603141484168
4.128404,0.24222435594966
4.952368,0.201923605030967
3.719655,0.26884213724122263
3.098672,0.32271889377126717
4.74738,0.2106425017588649
4.128353,0.24222734829119508
4.954506,0.20183646967023552
3.719671,0.2688409808286808
3.10265,0.3223051262630332
4.750692,0.21049564989689923
4.135103,0.24183194469400157
4.959089,0.20164994014021528
3.72613,0.2683749627629739
3.100082,0.3225721126086342
4.753989,0.21034966635387672
