Input data,shakespeare
user,ndp
function,wordcount
async toggle,False
forbid ndp,True
load balance strategy,roundrobin
iteration, latency
0,0.252362
1,0.242012
2,0.243877
3,0.253135
4,0.242506
5,0.244158
6,0.249541
7,0.235579
8,0.24289
9,0.252507
10,0.241238
11,0.241911
12,0.249094
13,0.24003
14,0.237475
15,0.250981
16,0.2403
17,0.236327
18,0.249626
19,0.245373
20,0.268772
21,0.25444
22,0.244153
23,0.244132
24,0.24949
25,0.243387
26,0.242146
27,0.249424
28,0.243397
29,0.241888
30,0.25072
31,0.243232
32,0.245762
33,0.246413
34,0.236657
35,0.23749
36,0.252511
37,0.238838
38,0.239018
39,0.249721
40,0.243016
41,0.241265
42,0.248401
43,0.238734
44,0.242242
45,0.24887
46,0.240142
47,0.243184
48,0.252836
49,0.239367
50,0.243555
51,0.249763
52,0.258393
53,0.243051
54,0.251189
55,0.239272
56,0.240241
57,0.249505
58,0.237056
59,0.239933
60,0.25056
61,0.24276
62,0.24475
63,0.252383
64,0.240149
65,0.243308
66,0.28626
67,0.243389
68,0.241848
69,0.254804
70,0.240583
71,0.240432
72,0.247284
73,0.239497
74,0.245066
75,0.246848
76,0.239784
77,0.241459
78,0.251306
79,0.239137
80,0.242481
81,0.246885
82,0.240755
83,0.239613
84,0.25176
85,0.240119
86,0.241311
87,0.248574
88,0.240287
89,0.23852
90,0.24613
91,0.240241
92,0.241752
93,0.251383
94,0.241273
95,0.242312
96,0.248318
97,0.265057
98,0.245088
99,0.247615
