Input data,kjv_ceph
user,ndp
function,wordcount
async toggle,True
forbid ndp,True
load balance strategy,roundrobin
iteration, latency
175,Turnaround: 0.4680652618408203
176,Turnaround: 0.48581528663635254
177,Turnaround: 0.46079444885253906
178,Turnaround: 0.47789812088012695
179,Turnaround: 0.4432868957519531
180,Turnaround: 0.43752098083496094
181,Turnaround: 0.4662504196166992
182,Turnaround: 0.4266667366027832
183,Turnaround: 0.4283640384674072
184,Turnaround: 0.4375138282775879
185,Turnaround: 0.4401247501373291
186,Turnaround: 0.4367361068725586
187,Turnaround: 0.4320211410522461
188,Turnaround: 0.47849535942077637
189,Turnaround: 0.4158823490142822
190,Turnaround: 0.44773268699645996
191,Turnaround: 0.3826868534088135
192,Turnaround: 0.4369468688964844
193,Turnaround: 0.385561466217041
194,Turnaround: 0.41840481758117676
195,Turnaround: 0.3997762203216553
196,Turnaround: 0.3428380489349365
197,Turnaround: 0.385333776473999
198,Turnaround: 0.3926882743835449
199,Turnaround: 0.3738820552825928
