Input data,kjv_ceph
user,ndp
function,wordcount
async toggle,True
forbid ndp,True
load balance strategy,roundrobin
iteration, latency
0,Turnaround: 0.22144722938537598
1,Turnaround: 0.22529911994934082
2,Turnaround: 0.22916626930236816
3,Turnaround: 0.22048258781433105
4,Turnaround: 0.2184150218963623
5,Turnaround: 0.21842527389526367
6,Turnaround: 0.22617411613464355
7,Turnaround: 0.2279500961303711
8,Turnaround: 0.23066473007202148
9,Turnaround: 0.22260713577270508
10,Turnaround: 0.23528647422790527
11,Turnaround: 0.23659682273864746
12,Turnaround: 0.23676013946533203
13,Turnaround: 0.23864293098449707
14,Turnaround: 0.2450253963470459
15,Turnaround: 0.2438960075378418
16,Turnaround: 0.24682211875915527
17,Turnaround: 0.2466130256652832
18,Turnaround: 0.24909090995788574
19,Turnaround: 0.25076723098754883
20,Turnaround: 0.2523841857910156
21,Turnaround: 0.25722527503967285
22,Turnaround: 0.2550647258758545
23,Turnaround: 0.2643277645111084
24,Turnaround: 0.26601076126098633
25,Turnaround: 0.2593092918395996
26,Turnaround: 0.26285672187805176
27,Turnaround: 0.2680087089538574
28,Turnaround: 0.2674083709716797
29,Turnaround: 0.26786208152770996
30,Turnaround: 0.271923303604126
31,Turnaround: 0.27332019805908203
32,Turnaround: 0.2713043689727783
33,Turnaround: 0.2733449935913086
34,Turnaround: 0.26838254928588867
35,Turnaround: 0.32630348205566406
36,Turnaround: 0.35892176628112793
37,Turnaround: 0.29079365730285645
38,Turnaround: 0.27406978607177734
39,Turnaround: 0.31548309326171875
40,Turnaround: 0.3253142833709717
41,Turnaround: 0.27530622482299805
42,Turnaround: 0.30961084365844727
43,Turnaround: 0.39205503463745117
44,Turnaround: 0.2947828769683838
45,Turnaround: 0.2839541435241699
46,Turnaround: 0.3973813056945801
47,Turnaround: 0.3758244514465332
48,Turnaround: 0.42679381370544434
49,Turnaround: 0.4547719955444336
50,Turnaround: 0.43357396125793457
51,Turnaround: 0.4522855281829834
52,Turnaround: 0.44473910331726074
53,Turnaround: 0.42613863945007324
54,Turnaround: 0.39331912994384766
55,Turnaround: 0.38881897926330566
56,Turnaround: 0.45699119567871094
57,Turnaround: 0.4541623592376709
58,Turnaround: 0.4365549087524414
59,Turnaround: 0.44211244583129883
60,Turnaround: 0.43543243408203125
61,Turnaround: 0.41941261291503906
62,Turnaround: 0.4024617671966553
63,Turnaround: 0.4471559524536133
64,Turnaround: 0.4666941165924072
65,Turnaround: 0.42981481552124023
66,Turnaround: 0.48302435874938965
67,Turnaround: 0.4923532009124756
68,Turnaround: 0.4955298900604248
69,Turnaround: 0.48041248321533203
70,Turnaround: 0.47979140281677246
71,Turnaround: 0.4609339237213135
72,Turnaround: 0.4804353713989258
73,Turnaround: 0.4533119201660156
74,Turnaround: 0.436795711517334
75,Turnaround: 0.4320809841156006
76,Turnaround: 0.4634215831756592
77,Turnaround: 0.4916982650756836
78,Turnaround: 0.49681973457336426
79,Turnaround: 0.4355278015136719
80,Turnaround: 0.47527194023132324
81,Turnaround: 0.4524359703063965
82,Turnaround: 0.4508483409881592
83,Turnaround: 0.44413113594055176
84,Turnaround: 0.4478302001953125
85,Turnaround: 0.47336363792419434
86,Turnaround: 0.45864415168762207
87,Turnaround: 0.4600839614868164
88,Turnaround: 0.46381425857543945
89,Turnaround: 0.48377418518066406
90,Turnaround: 0.4516937732696533
