Input data,shakespeare
user,ndp
function,wordcount
async toggle,False
forbid ndp,False
load balance strategy,roundrobin
iteration, latency
0,0.372597
1,0.349861
2,0.347955
3,0.359165
4,0.351083
5,0.352575
6,0.353572
7,0.347414
8,0.347054
9,0.351615
10,0.35415
11,0.3664
12,0.353066
13,0.350212
14,0.352215
15,0.371293
16,0.353675
17,0.35269
18,0.353049
19,0.346359
20,0.350003
21,0.353363
22,0.353085
23,0.350045
24,0.350883
25,0.366734
26,0.350269
27,0.353935
28,0.352124
29,0.351153
30,0.352507
31,0.365454
32,0.360798
33,0.35635
34,0.349229
35,0.351308
36,0.356273
37,0.349608
38,0.35351
39,0.346416
40,0.349707
41,0.352341
42,0.351533
43,0.3539
44,0.356028
45,0.353684
46,0.353876
47,0.353045
48,0.355074
49,0.351423
50,0.3534
51,0.351161
52,0.353851
53,0.349303
54,0.353597
55,0.352292
56,0.353531
57,0.350933
58,0.348749
59,0.346725
60,0.358759
61,0.3532
62,0.352114
63,0.35716
64,0.353046
65,0.361108
66,0.353273
67,0.349483
68,0.346739
69,0.353613
70,0.347001
71,0.356317
72,0.356511
73,0.353966
74,0.34514
75,0.358561
76,0.349973
77,0.349689
78,0.360759
79,0.353206
80,0.351133
81,0.353849
82,0.360122
83,0.352981
84,0.350804
85,0.349397
86,0.351747
87,0.356473
88,0.343867
89,0.342651
90,0.355411
91,0.349962
92,0.352539
93,0.353854
94,0.353475
95,0.351617
96,0.354413
97,0.352708
98,0.359082
99,0.358532
